source_id,post_id,tweeted_at,longitude,latitude,lonlat,geo_0,geo_1,geo_2,geo_3,place_id,place_name,place_category_1,place_category_2,place_category_3,user_id,user_screen_name,user_lang,gender,nationality,text,text_lang,trimmed_text,trimmed_text2,text_status,url,image_url,created_at,updated_at,living_pref,living_city,working_pref,working_city,media_id,hour,city_code,pref_code
4,1465274328354902016,2021-11-29 19:59:58+09,138.874000311,37.457775799,0101000020E61000000B0E80CFF75B614079CDBA6598BA4240,新潟県,長岡市,,,4bdcb4a13904a59354604f9e,マクドナルド 長岡リップス店,飲食,ファーストフード,ファーストフード店,1062721453722759169,jaousingan_kuga,,,JP,"I'm at マクドナルド 長岡リップス店 - @mcdonaldsjapan in 長岡市, 新潟県 https://t.co/EsUafHa3dC",,,"['マクドナルド', '長岡', 'リップス', 'mcdonaldsjapan']",0,https://www.swarmapp.com/c/hsGC58XG58c,,2021-11-29 20:55:13,2021-11-29 20:55:13,新潟県,長岡市,新潟県,長岡市,2,19,15202.0,15.0
4,1465274317839777794,2021-11-29 19:59:55+09,136.900162697,36.264613378,0101000020E610000037160022CE1C61400B4CE6D9DE214240,岐阜県,白川村,,,4be12dbd0365c9b6dc11b338,白川郷IC,交通施設,その他交通施設,料金所,244011692,as285e,,,JP,"I'm at 白川郷IC in 白川村, 岐阜県 https://t.co/5mffo7CH0s",,,"['白川郷', 'IC']",0,https://www.swarmapp.com/c/b4sNjVG6upx,,2021-11-29 20:55:13,2021-11-29 20:55:13,愛知県,名古屋市 中村区,愛知県,名古屋市 中村区,2,19,21604.0,21.0
4,1465274316057108495,2021-11-29 19:59:55+09,139.70795,35.74492,0101000020E61000008126C286A77661407311DF8959DF4140,東京都,板橋区,,,5d26e2b5be636e00236b59f7,自家製麺 No11,,,,1369674330250960899,GNJ_A_,,,JP,"I'm at 自家製麺 No11 - @masamix111 in 板橋区, 東京都 https://t.co/13w86ArZtr",,,"['自家製', '麺', 'No', '11', 'masamix', '111']",0,https://www.swarmapp.com/c/6Rjd1XZbFBx,,2021-11-29 20:55:13,2021-11-29 20:55:13,埼玉県,和光市,東京都,千代田区,2,19,13119.0,13.0
3,1465274292132794368,2021-11-29 19:59:49+09,139.69837927,35.69810369,0101000020E6100000579B7B1F597661402BE232765BD94140,東京都,新宿区,,,,,,,,96135576,suzu8893,,,JP,"I'm at リリカラ ショールーム in 新宿区, 東京都 https://t.co/z7vpHkBFEF",,,"['リリカラ', 'ショールーム']",0,https://www.swarmapp.com/c/f6UuS0bZmER,,2021-11-29 20:45:04,2021-11-29 20:45:04,東京都,板橋区,東京都,板橋区,2,19,13104.0,13.0
4,1465274293248528384,2021-11-29 19:59:49+09,139.487174749,35.338776578,0101000020E61000008BCC7FEF966F61409594E9075DAB4140,神奈川県,藤沢市,,,4b281579f964a520bf8e24e3,藤沢駅,交通施設,駅,鉄道駅,1627963242,Tsurumaki1335,,,JP,"I'm at 藤沢駅 in 藤沢市, 神奈川県 https://t.co/m17o9e329R",,,['藤沢駅'],0,https://www.swarmapp.com/c/igwv1rie0SA,,2021-11-29 20:55:13,2021-11-29 20:55:13,神奈川県,川崎市 幸区,神奈川県,川崎市 幸区,2,19,14205.0,14.0
3,1465274280942485516,2021-11-29 19:59:46+09,139.532338,35.809329,0101000020E6100000618DB3E908716140295AB91798E74140,埼玉県,所沢市,,,,,,,,229806768,yuibo_itaita,,,JP,"I'm at 所沢IC in 所沢市, 埼玉県 https://t.co/7hPtREjhpF",,,"['所沢', 'IC']",0,https://www.swarmapp.com/c/jY6lykhIAcD,,2021-11-29 20:45:04,2021-11-29 20:45:04,東京都,千代田区,埼玉県,入間市,2,19,11208.0,11.0
3,1465274228517879811,2021-11-29 19:59:34+09,136.93715572,35.1900309,0101000020E61000001915FE2DFD1D61405E5DBAEE52984140,愛知県,名古屋市 東区,,,,,,,,88386179,HExRex,,,JP,"I'm at JR 大曽根駅 in Nagoya-shi, 愛知 https://t.co/wKNbT44Fd0",,,"['JR', '大曽根駅', 'Nagoya', 'shi', '愛知']",0,https://www.swarmapp.com/c/5oJcdJx4sFx,,2021-11-29 20:45:04,2021-11-29 20:45:04,岐阜県,可児市,岐阜県,可児市,2,19,23102.0,23.0
3,1465274230585630729,2021-11-29 19:59:34+09,136.90644981,35.16139904,0101000020E61000004B2D08A3011D6140F13347B9A8944140,愛知県,名古屋市 中区,,,,,,,,886507819020697601,macguy_jp,,,JP,"あおいちゃんす〜列　#きみぷり (@ Music Bar @TOYS_nagoya in 名古屋市, 愛知県) https://t.co/4e6qcQDK9X https://t.co/Uq6pgguFBD",,あおいちゃんす〜列,"['あおい', 'ちゃんす', '列', 'きみ', 'ぷり', 'Music', 'Bar', 'TOYS', 'nagoya']",1,https://www.swarmapp.com/c/1zrbtIG3u5J,https://pbs.twimg.com/media/FFWzJf8WYAkyE_l.jpg,2021-11-29 20:45:04,2021-11-29 20:45:04,愛知県,名古屋市 中区,愛知県,名古屋市 中区,2,19,23106.0,23.0
3,1465274214093672454,2021-11-29 19:59:30+09,135.50936128,34.77339252,0101000020E61000005CEE06B04CF060407E2FAE86FE624140,大阪府,吹田市,,,,,,,,86263086,cometkobe,,,JP,"I'm at 関西大学 正門 in Suita, Ōsaka https://t.co/3iMcwdW8Xe https://t.co/yqAxzKxEqV",,,"['関西大学', '正門', 'Suita', 'Ōsaka']",0,https://www.swarmapp.com/c/2cvgy8cnbGn,https://pbs.twimg.com/media/FFWzIhPWUAA2ZwC.jpg,2021-11-29 20:45:04,2021-11-29 20:45:04,兵庫県,神戸市 東灘区,兵庫県,神戸市 東灘区,2,19,27205.0,27.0
4,1465274210864046084,2021-11-29 19:59:30+09,139.701839983,35.693136226,0101000020E610000054C01F7975766140E32B17B0B8D84140,東京都,新宿区,,,4ba35989f964a520a43638e3,新宿スポーツランド 本館,レジャー,遊戯施設,ゲームセンター,1091292118918717440,F141SH,,,JP,"I'm at 新宿スポーツランド 本館 - @spolan_honkan in 新宿区, 東京都 https://t.co/fEGrJmj6Yw",,,"['新宿', 'スポーツ', 'ランド', '本館', 'spolan', 'honkan']",0,https://www.swarmapp.com/c/7CPWvzu57vz,,2021-11-29 20:55:13,2021-11-29 20:55:13,神奈川県,藤沢市,神奈川県,藤沢市,2,19,13104.0,13.0
